image_id,attempt_number,started_at_utc,completed_at_utc,duration_ms,success,retry_delay_s,error,server_result
sunnybot-01_p2-09_000001,1,2026-08-04T23:55:12.403Z,2026-08-04T23:55:12.485Z,82.336,True,0.0,,stored
sunnybot-01_p2-09_000002,1,2026-08-04T23:55:12.486Z,2026-08-04T23:55:12.581Z,95.226,True,0.0,,stored
sunnybot-01_p2-09_000003,1,2026-08-04T23:55:12.582Z,2026-08-04T23:55:12.634Z,52.809,True,0.0,,stored
sunnybot-01_p2-09_000004,1,2026-08-04T23:55:12.635Z,2026-08-04T23:55:12.691Z,56.13,True,0.0,,stored
sunnybot-01_p2-09_000005,1,2026-08-04T23:55:12.692Z,2026-08-04T23:55:12.737Z,45.452,True,0.0,,stored
sunnybot-01_p2-09_000006,1,2026-08-04T23:55:12.738Z,2026-08-04T23:55:12.833Z,95.719,True,0.0,,stored
sunnybot-01_p2-09_000007,1,2026-08-04T23:55:12.834Z,2026-08-04T23:55:12.879Z,44.503,True,0.0,,stored
sunnybot-01_p2-09_000008,1,2026-08-04T23:55:12.879Z,2026-08-04T23:55:12.965Z,86.45,True,0.0,,stored
sunnybot-01_p2-09_000009,1,2026-08-04T23:55:12.966Z,2026-08-04T23:55:13.028Z,61.642,True,0.0,,stored
sunnybot-01_p2-09_000010,1,2026-08-04T23:55:13.028Z,2026-08-04T23:55:13.074Z,46.028,True,0.0,,stored
sunnybot-01_p2-09_000011,1,2026-08-04T23:55:13.075Z,2026-08-04T23:55:13.138Z,62.672,True,0.0,,stored
sunnybot-01_p2-09_000012,1,2026-08-04T23:55:13.138Z,2026-08-04T23:55:13.213Z,74.938,True,0.0,,stored
sunnybot-01_p2-09_000013,1,2026-08-04T23:55:13.214Z,2026-08-04T23:55:13.279Z,65.013,True,0.0,,stored
sunnybot-01_p2-09_000014,1,2026-08-04T23:55:13.280Z,2026-08-04T23:55:13.342Z,62.26,True,0.0,,stored
sunnybot-01_p2-09_000015,1,2026-08-04T23:55:13.343Z,2026-08-04T23:55:13.417Z,74.714,True,0.0,,stored
sunnybot-01_p2-09_000016,1,2026-08-04T23:55:13.418Z,2026-08-04T23:55:13.464Z,46.366,True,0.0,,stored
sunnybot-01_p2-09_000017,1,2026-08-04T23:55:13.465Z,2026-08-04T23:55:13.528Z,63.367,True,0.0,,stored
sunnybot-01_p2-09_000018,1,2026-08-04T23:55:13.529Z,2026-08-04T23:55:13.613Z,84.452,True,0.0,,stored
sunnybot-01_p2-09_000019,1,2026-08-04T23:55:13.614Z,2026-08-04T23:55:13.678Z,64.357,True,0.0,,stored
sunnybot-01_p2-09_000020,1,2026-08-04T23:55:13.679Z,2026-08-04T23:55:13.726Z,47.612,True,0.0,,stored
sunnybot-01_p2-09_000021,1,2026-08-04T23:55:16.149Z,2026-08-04T23:55:18.154Z,2005.277,False,0.2,TimeoutError: timed out,
sunnybot-01_p2-09_000022,1,2026-08-04T23:55:18.155Z,2026-08-04T23:55:20.170Z,2014.907,False,0.2,TimeoutError: timed out,
sunnybot-01_p2-09_000021,2,2026-08-04T23:55:20.171Z,2026-08-04T23:55:22.193Z,2022.26,False,0.4,TimeoutError: timed out,
sunnybot-01_p2-09_000022,2,2026-08-04T23:55:22.194Z,2026-08-04T23:55:24.220Z,2026.193,False,0.4,TimeoutError: timed out,
sunnybot-01_p2-09_000021,3,2026-08-04T23:55:24.221Z,2026-08-04T23:55:26.240Z,2018.703,False,0.8,TimeoutError: timed out,
sunnybot-01_p2-09_000022,3,2026-08-04T23:55:26.673Z,2026-08-04T23:55:26.686Z,12.877,False,0.8,ConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host,
sunnybot-01_p2-09_000023,1,2026-08-04T23:55:26.686Z,2026-08-04T23:55:26.750Z,63.436,False,0.2,RemoteDisconnected: Remote end closed connection without response,
sunnybot-01_p2-09_000024,1,2026-08-04T23:55:26.750Z,2026-08-04T23:55:26.829Z,78.507,True,0.0,,stored
sunnybot-01_p2-09_000025,1,2026-08-04T23:55:26.830Z,2026-08-04T23:55:26.894Z,63.977,True,0.0,,stored
sunnybot-01_p2-09_000026,1,2026-08-04T23:55:26.894Z,2026-08-04T23:55:26.949Z,55.252,True,0.0,,stored
sunnybot-01_p2-09_000023,2,2026-08-04T23:55:26.950Z,2026-08-04T23:55:27.006Z,56.063,True,0.0,,already_committed
sunnybot-01_p2-09_000027,1,2026-08-04T23:55:27.007Z,2026-08-04T23:55:27.085Z,78.484,True,0.0,,stored
sunnybot-01_p2-09_000021,4,2026-08-04T23:55:27.086Z,2026-08-04T23:55:27.096Z,10.166,False,1.0,ConnectionAbortedError: [WinError 10053] An established connection was aborted by the software in your host machine,
sunnybot-01_p2-09_000028,1,2026-08-04T23:55:27.096Z,2026-08-04T23:55:27.183Z,86.295,True,0.0,,stored
sunnybot-01_p2-09_000029,1,2026-08-04T23:55:27.183Z,2026-08-04T23:55:27.277Z,93.93,True,0.0,,stored
sunnybot-01_p2-09_000030,1,2026-08-04T23:55:27.278Z,2026-08-04T23:55:27.360Z,82.438,True,0.0,,stored
sunnybot-01_p2-09_000031,1,2026-08-04T23:55:27.361Z,2026-08-04T23:55:27.408Z,46.629,True,0.0,,stored
sunnybot-01_p2-09_000032,1,2026-08-04T23:55:27.408Z,2026-08-04T23:55:27.454Z,46.129,True,0.0,,stored
sunnybot-01_p2-09_000033,1,2026-08-04T23:55:27.455Z,2026-08-04T23:55:27.509Z,53.759,True,0.0,,stored
sunnybot-01_p2-09_000022,4,2026-08-04T23:55:27.509Z,2026-08-04T23:55:27.566Z,57.046,True,0.0,,stored
sunnybot-01_p2-09_000034,1,2026-08-04T23:55:27.567Z,2026-08-04T23:55:27.614Z,47.464,True,0.0,,stored
sunnybot-01_p2-09_000035,1,2026-08-04T23:55:27.615Z,2026-08-04T23:55:27.705Z,90.336,True,0.0,,stored
sunnybot-01_p2-09_000036,1,2026-08-04T23:55:27.706Z,2026-08-04T23:55:27.753Z,47.428,True,0.0,,stored
sunnybot-01_p2-09_000037,1,2026-08-04T23:55:27.754Z,2026-08-04T23:55:27.847Z,93.578,True,0.0,,stored
sunnybot-01_p2-09_000038,1,2026-08-04T23:55:27.849Z,2026-08-04T23:55:27.895Z,46.116,True,0.0,,stored
sunnybot-01_p2-09_000039,1,2026-08-04T23:55:27.895Z,2026-08-04T23:55:27.950Z,54.895,True,0.0,,stored
sunnybot-01_p2-09_000040,1,2026-08-04T23:55:27.951Z,2026-08-04T23:55:28.009Z,58.517,True,0.0,,stored
sunnybot-01_p2-09_000041,1,2026-08-04T23:55:28.010Z,2026-08-04T23:55:28.058Z,48.48,True,0.0,,stored
sunnybot-01_p2-09_000042,1,2026-08-04T23:55:28.059Z,2026-08-04T23:55:28.123Z,64.246,True,0.0,,stored
sunnybot-01_p2-09_000021,5,2026-08-04T23:55:28.124Z,2026-08-04T23:55:28.134Z,10.556,False,1.0,ConnectionAbortedError: [WinError 10053] An established connection was aborted by the software in your host machine,
sunnybot-01_p2-09_000043,1,2026-08-04T23:55:28.135Z,2026-08-04T23:55:28.181Z,46.255,True,0.0,,stored
sunnybot-01_p2-09_000044,1,2026-08-04T23:55:28.182Z,2026-08-04T23:55:28.265Z,82.941,True,0.0,,stored
sunnybot-01_p2-09_000045,1,2026-08-04T23:55:28.265Z,2026-08-04T23:55:28.325Z,59.901,True,0.0,,stored
sunnybot-01_p2-09_000046,1,2026-08-04T23:55:28.326Z,2026-08-04T23:55:28.375Z,49.278,True,0.0,,stored
sunnybot-01_p2-09_000047,1,2026-08-04T23:55:28.376Z,2026-08-04T23:55:28.452Z,76.02,True,0.0,,stored
sunnybot-01_p2-09_000048,1,2026-08-04T23:55:28.452Z,2026-08-04T23:55:28.499Z,46.482,True,0.0,,stored
sunnybot-01_p2-09_000049,1,2026-08-04T23:55:28.499Z,2026-08-04T23:55:28.570Z,70.465,True,0.0,,stored
sunnybot-01_p2-09_000050,1,2026-08-04T23:55:28.570Z,2026-08-04T23:55:28.616Z,46.016,True,0.0,,stored
sunnybot-01_p2-09_000051,1,2026-08-04T23:55:28.617Z,2026-08-04T23:55:28.681Z,64.241,True,0.0,,stored
sunnybot-01_p2-09_000052,1,2026-08-04T23:55:28.682Z,2026-08-04T23:55:28.754Z,72.16,True,0.0,,stored
sunnybot-01_p2-09_000053,1,2026-08-04T23:55:28.754Z,2026-08-04T23:55:28.822Z,67.731,True,0.0,,stored
sunnybot-01_p2-09_000054,1,2026-08-04T23:55:28.823Z,2026-08-04T23:55:28.884Z,61.644,True,0.0,,stored
sunnybot-01_p2-09_000055,1,2026-08-04T23:55:28.885Z,2026-08-04T23:55:28.936Z,51.228,True,0.0,,stored
sunnybot-01_p2-09_000056,1,2026-08-04T23:55:28.937Z,2026-08-04T23:55:28.998Z,61.555,True,0.0,,stored
sunnybot-01_p2-09_000057,1,2026-08-04T23:55:28.999Z,2026-08-04T23:55:29.057Z,57.664,True,0.0,,stored
sunnybot-01_p2-09_000058,1,2026-08-04T23:55:29.057Z,2026-08-04T23:55:29.118Z,61.184,True,0.0,,stored
sunnybot-01_p2-09_000059,1,2026-08-04T23:55:29.119Z,2026-08-04T23:55:29.187Z,68.262,True,0.0,,stored
sunnybot-01_p2-09_000021,6,2026-08-04T23:55:29.188Z,2026-08-04T23:55:29.241Z,52.748,True,0.0,,stored
sunnybot-01_p2-09_000060,1,2026-08-04T23:55:29.241Z,2026-08-04T23:55:29.315Z,73.149,True,0.0,,stored
sunnybot-01_p2-09_000061,1,2026-08-04T23:55:31.142Z,2026-08-04T23:55:31.206Z,63.325,True,0.0,,stored
sunnybot-01_p2-09_000062,1,2026-08-04T23:55:31.206Z,2026-08-04T23:55:31.288Z,81.284,True,0.0,,stored
sunnybot-01_p2-09_000063,1,2026-08-04T23:55:31.288Z,2026-08-04T23:55:31.334Z,45.742,True,0.0,,stored
sunnybot-01_p2-09_000064,1,2026-08-04T23:55:31.335Z,2026-08-04T23:55:31.426Z,90.862,True,0.0,,stored
sunnybot-01_p2-09_000065,1,2026-08-04T23:55:31.426Z,2026-08-04T23:55:31.504Z,77.904,True,0.0,,stored
