scenario_id,subsystem,scenario,fault_injected,expected_behavior,started_at_utc,completed_at_utc,duration_ms,detected,recovered,application_running,data_preserved,silent_data_loss,actual_behavior,error_type,error_message,result
CAM-01,camera,Normal repository image,none,Valid image is accepted and stored,2026-08-05T17:26:24.383Z,2026-08-05T17:26:24.422Z,39.579,True,True,True,True,False,Valid image accepted (valid_jpeg),,,PASS
CAM-02,camera,Camera unavailable at startup,startup_unavailable,Failure is detected and later capture resumes,2026-08-05T17:26:24.423Z,2026-08-05T17:26:24.423Z,0.014,True,True,True,True,False,Failure detected; a later valid capture succeeded,,,PASS
CAM-03,camera,Camera timeout,timeout,Failure is detected and later capture resumes,2026-08-05T17:26:24.423Z,2026-08-05T17:26:24.423Z,0.009,True,True,True,True,False,Failure detected; a later valid capture succeeded,,,PASS
CAM-04,camera,Camera disconnect,disconnect,Failure is detected and later capture resumes,2026-08-05T17:26:24.423Z,2026-08-05T17:26:24.423Z,0.014,True,True,True,True,False,Failure detected; a later valid capture succeeded,,,PASS
CAM-05,camera,Dropped frame,no frame returned,Dropped frame is detected without a false image record,2026-08-05T17:26:24.423Z,2026-08-05T17:26:24.423Z,0.008,True,True,True,True,False,Dropped frame was not reported as a successful image,,,PASS
CAM-06,camera,Truncated image,truncated,Invalid file is rejected and processing continues,2026-08-05T17:26:24.423Z,2026-08-05T17:26:24.430Z,6.823,True,True,True,True,False,Invalid image rejected (jpeg_end_missing); next capture succeeded,,,PASS
CAM-07,camera,Empty image,empty,Invalid file is rejected and processing continues,2026-08-05T17:26:24.430Z,2026-08-05T17:26:24.431Z,0.569,True,True,True,True,False,Invalid image rejected (too_small); next capture succeeded,,,PASS
CAM-08,camera,Delayed frame,75 ms delay,Delay is detected and valid data remains usable,2026-08-05T17:26:24.431Z,2026-08-05T17:26:24.507Z,75.578,True,True,True,True,False,Delay detected; valid image retained (valid_jpeg),,,PASS
GNSS-01,gnss,Valid fix,none,Condition is marked correctly without losing the image,2026-08-05T17:26:24.507Z,2026-08-05T17:26:24.549Z,41.732,True,True,True,True,False,GNSS result=valid; image retained,,,PASS
GNSS-02,gnss,Missing fix,missing GNSS,Condition is marked correctly without losing the image,2026-08-05T17:26:24.549Z,2026-08-05T17:26:24.572Z,22.642,True,True,True,True,False,GNSS result=missing_fix; image retained,,,PASS
GNSS-03,gnss,Malformed fix,malformed GNSS,Condition is marked correctly without losing the image,2026-08-05T17:26:24.572Z,2026-08-05T17:26:24.619Z,47.527,True,True,True,True,False,GNSS result=malformed_fix; image retained,,,PASS
GNSS-04,gnss,Stale fix,stale GNSS,Condition is marked correctly without losing the image,2026-08-05T17:26:24.620Z,2026-08-05T17:26:24.664Z,44.122,True,True,True,True,False,GNSS result=stale_or_future; image retained,,,PASS
GNSS-05,gnss,Invalid coordinates,invalid coordinates,Condition is marked correctly without losing the image,2026-08-05T17:26:24.664Z,2026-08-05T17:26:24.687Z,22.666,True,True,True,True,False,GNSS result=coordinates_invalid; image retained,,,PASS
GNSS-06,gnss,Low-quality fix,low satellites,Condition is marked correctly without losing the image,2026-08-05T17:26:24.687Z,2026-08-05T17:26:24.729Z,42.508,True,True,True,True,False,GNSS result=satellites_low; image retained,,,PASS
GNSS-07,gnss,GNSS recovery,fix restored,Condition is marked correctly without losing the image,2026-08-05T17:26:24.730Z,2026-08-05T17:26:24.771Z,41.559,True,True,True,True,False,GNSS result=valid; image retained,,,PASS
